Rank,Name,TokenType,Volume,24h%,7d%,Floor Price,Owners,Items
2458,Tom Fry Studio,ETH,180.78,null,-100.00%,0.1,320,106
2459,Hello Anon,ETH,180.77,null,null,---,637,5.7K
2460,The Collector Chronicles,ETH,180.66,null,127.27%,---,507,13
2461,ilyakazakov,ETH,180.66,null,null,0.11,374,59
2462,Flamingo Flutter,ETH,180.59,null,-54.30%,0.25,875,1.6K
2463,Golden Token Berlin,ETH,179.85,null,13.87%,0.92,384,1.0K
2464,HypeHippo.io,ETH,179.79,2230.00%,-63.90%,< 0.01,3.8K,10.0K
2465,Space Pals Genesis,ETH,179.35,-41.19%,35.03%,0.04,1.7K,3.1K
2466,Alien Ape Yacht Club Collection,ETH,179.32,276.75%,-38.22%,0.02,2.6K,10.0K
2467,Bit Kongz,ETH,179.26,null,-100.00%,< 0.01,1.4K,3.3K
2468,vEmpire - The Founding Soldiers,ETH,179.18,-100.00%,null,0.09,139,582
2469,Variant Plan by Jeff Davis,ETH,179.02,null,null,2.1,183,199
2470,Lives of Kevin,ETH,178.95,-100.00%,-76.84%,< 0.01,645,1.1K
2471,Mini Monkey Mafia,ETH,178.66,null,-47.37%,< 0.01,1.8K,5.0K
2472,Wrapped Ether,ETH,178.28,null,null,---,205.3K,1
2473,Fxck Face,ETH,178.24,147.33%,-72.12%,0.02,1.9K,5.3K
2474,The Valkyries NFT,ETH,178.22,null,-39.03%,< 0.01,1.6K,4.4K
2475,ArcadeNFT - ToadRunnerz,ETH,178.1,72.38%,19.39%,0.04,3.1K,4.8K
2476,Low effort Punks,ETH,177.92,295.00%,-69.93%,0.03,1.2K,4.7K
2477,[Hidden] Genesis,ETH,177.88,null,null,---,1.3K,1.7K
2478,TIMEPiece Community,ETH,177.88,-100.00%,27.42%,0.03,2.6K,4.8K
2479,Vhigh! Avatar Gen 0.0,ETH,177.59,null,null,0.03,558,1.0K
2480,Perseverance by Giorgio Balbi,ETH,177.57,13.47%,708.89%,0.25,307,500
2481,Riot Racers Drivers,ETH,176.56,-15.83%,-40.13%,0.03,1.7K,11.1K
2482,Diaper Dogs,ETH,176.53,-100.00%,-73.76%,---,470,978
2483,Asterisms by Falko,ETH,176.42,null,null,0.78,71,100
2484,FIVES GENESIS DNA,ETH,176.33,323.81%,-87.36%,0.06,1.9K,8.0K
2485,Substrata,ETH,176.19,-100.00%,-82.93%,0.24,316,968
2486,Doodle Kongz,ETH,176.1,null,null,< 0.01,659,1.0K
2487,Floki Inu - Diamond Hands - Diamond Tier,ETH,176.07,null,-31.67%,0.19,1.2K,1.3K
2488,Bored Punk Yacht Club,ETH,175.77,-100.00%,3224.24%,---,364,812
2489,Lozenge,ETH,175.68,null,null,---,85,128
2490,Sockz (Edition 0),ETH,175.26,null,-100.00%,---,1.9K,4.9K
2491,PunksVoxels,ETH,175.21,-74.19%,-92.20%,0.02,1.2K,10.0K
2492,Topps Timeless,ETH,175,null,-100.00%,---,1,1
2493,CryptoBauhaus,ETH,174.99,null,-100.00%,---,318,659
2494,Top Cat Beach Club,ETH,174.9,675.02%,23.13%,0.04,2.1K,6.9K
2495,CryptoSongz,ETH,174.89,null,-100.00%,---,423,999
2496,Paintglyphs V2,ETH,174.7,null,null,---,190,417
2497,Generative Burger Club,ETH,174.57,null,223.49%,---,481,1.2K
2498,Fresh Fools,ETH,174.37,2070.39%,null,0.07,1.8K,5.8K
2499,Deep Sea Jellys,ETH,173.75,-99.90%,36.21%,< 0.01,6.9K,10.0K
2501,Los Samos,ETH,173.51,-100.00%,-4.65%,---,99,125
2502,ONE Shogun,ETH,173.4,-70.71%,31.88%,0.04,1.1K,3.5K
2503,Dystolabs: SpaceMice,ETH,173.37,-100.00%,null,---,317,999
2504,DAOpunks,ETH,172.98,null,null,0.1,621,1.1K
2505,ARIES HOT official,ETH,172.78,-100.00%,118.75%,---,220,386
2506,The Mujahideen by TalibanPunks,ETH,172.75,null,null,---,470,911
2507,Evaverse Turtle Troop,ETH,172.6,-73.41%,-24.29%,0.06,1.8K,5.0K
2508,Panda Astronaut Club,ETH,172.58,null,-51.61%,0.36,539,999
2509,Genesis Fat Academy,ETH,172.36,-71.79%,-63.21%,0.55,161,200
2510,Saturday Night Live,ETH,171.99,null,null,---,1,1
2511,Gazettes by Redlioneye Gazette,ETH,171.8,null,-100.00%,0.07,431,1.0K
2512,MultiNode,ETH,171.63,-35.22%,-63.32%,0.13,1.1K,2.8K
2513,Truchet Styles,ETH,171.56,null,-100.00%,0.01,850,2.0K
2514,imlosingmymind,ETH,171.54,null,null,---,98,134
2515,Ugly Kitties by Sabet,ETH,171.47,null,721.52%,---,249,319
2516,Neon Kabuki,ETH,171.46,null,null,0.06,205,309
2517,Abondoned!! Moved to another collecton,ETH,171.28,null,-100.00%,0.05,135,156
2518,The Cheeky Lion Club,ETH,171.05,-64.29%,156.73%,0.01,5.1K,8.0K
2519,CryptoTitties,ETH,171.01,null,null,4.5,83,144
2520,MonoLocco Genesis,ETH,170.81,161.92%,-87.65%,0.03,945,1.6K
2521,DotsCountryCLub Collection,ETH,170.8,null,-100.00%,40,5,6
2522,Eggrypto,ETH,170.76,null,-100.00%,0.05,1.5K,2.3K
2523,The Fuckin' Trolls,ETH,170.42,null,null,< 0.01,2.0K,10.0K
2524,Cyber Wonder Woman,ETH,170.34,null,null,---,37,4
2525,Froggy Friends Official,ETH,170.34,-76.17%,null,0.05,2.5K,4.4K
2526,VNFT,ETH,170.33,null,-100.00%,---,140,545
2527,CryptoNinja NFT,ETH,170.26,null,null,14,30,30
2528,harrypackart Collection,ETH,170.09,null,-100.00%,---,193,50
2529,The Space Cats,ETH,169.95,-100.00%,-12.25%,< 0.01,2.3K,10.0K
2530,Genesis Rocks,ETH,169.5,null,null,---,38,48
2531,Billionaire Dogs Club BDC,ETH,168.89,-100.00%,null,---,1.2K,2.0K
2532,Ocarinas,ETH,168.85,null,-58.94%,0.15,489,1.6K
2533,Age of Rust,ETH,168.75,-100.00%,null,---,1.9K,145
2534,Punked Doods,ETH,168.15,0.10%,0.11%,---,1.9K,5.0K
2535,Go BaBy Go !!,ETH,167.93,-100.00%,153.08%,0.1,331,499
2536,CryptoWhips,ETH,167.87,null,null,---,64,101
2537,Dark Zodiac NFTs,ETH,167.75,null,-100.00%,0.02,959,3.9K
2538,gilangndaru,ETH,167.65,null,-100.00%,0.25,92,14
2539,Arab Meta Social Club,ETH,167.43,155.20%,-35.53%,0.05,1.3K,3.2K
2540,World of Women Collabs,ETH,167.33,-60.07%,52.71%,---,9.4K,42
2541,Tsubasa By Tabinekokiki,ETH,166.9,67.06%,-27.60%,0.15,755,1.4K
2542,Metaverse Cool Cats,ETH,166.81,-100.00%,164.17%,< 0.01,2.7K,5.0K
2543,Pop Art Portraits by Tyler Shields,ETH,166.78,null,-100.00%,---,73,100
2544,Ballman project,ETH,166.76,-54.12%,-43.55%,0.07,2.8K,6.2K
2545,The Street Dawgs,ETH,166.67,-36.78%,-13.91%,0.02,1.0K,3.2K
2546,Deadbears Official,ETH,166.53,540.00%,-13.76%,< 0.01,2.3K,10.0K
2547,GAMA SPACE STATION GENESIS,ETH,166.48,-100.00%,-53.55%,---,568,2.2K
2548,Bored Doodle Punk Club,ETH,166.47,-100.00%,-8.66%,< 0.01,939,2.5K
2549,Fast Food Penguins,ETH,166.46,null,-100.00%,---,762,1.5K
2550,BomulPlanet Season One,KLAY,"437,382.01",-100.00%,11.10%,3400,383,5.1K
2551,Gamee Vouchers,ETH,166.29,null,null,---,77,6
2552,Brush Strokes by 0xCulture,ETH,166.06,-100.00%,1000.00%,---,664,1.1K
2553,MarenDAO,ETH,165.76,null,null,---,327,666
2554,Neogen Space Monkeys by Dalek x Generative Artworks,ETH,165.51,15.19%,-26.19%,0.03,1.9K,5.0K
2555,Yearn Finance,ETH,165.07,null,757.13%,0.01,10.0K,13.6K
2556,Rarebit Bunnies,ETH,165.07,null,-50.00%,0.08,452,305
2557,Space Game - Founder Pass,ETH,165.05,94.78%,-58.78%,---,2.1K,7.0K
2558,Metaverse Travel Agency (M.T.A.),ETH,164.96,-100.00%,-25.42%,0.01,2.7K,5.7K
2559,Arpeggi Genesis Studio Pass,ETH,164.68,-100.00%,-22.78%,---,320,600
2560,Dead Diamond Society,ETH,164.66,224.63%,2.70%,0.15,1.3K,2.5K
2561,OnlyOnePixel,ETH,164.11,null,-100.00%,---,310,1.0K
2562,DRIVE // BY DAVE KRUGMAN,ETH,163.9,null,null,---,66,111
2563,LateDAO-Wawawa,ETH,163.89,-100.00%,88.59%,0.22,2.7K,6.6K
2564,planets by donnoh,ETH,163.76,null,null,0.14,305,511
2565,Genesis Dragons,ETH,163.67,null,null,1,120,249
2566,Tboa Club,ETH,163.46,-100.00%,56.68%,---,368,600
2567,Official ApeZuki,ETH,163.38,-82.81%,-60.31%,< 0.01,3.0K,9.8K
2568,HashKicks,ETH,163.28,-100.00%,null,---,108,217
2569,CINDYDAO GENESIS,ETH,163.27,null,null,---,466,888
2570,SpacePepes,ETH,163.19,null,null,---,56,100
2571,GENESIS by Sim,ETH,163.08,null,null,---,74,105
2572,PUNKS 2: TROPO Collector's Edition,ETH,162.99,null,3.21%,0.45,705,749
2573,ONY by Shvembldr,ETH,162.75,null,null,---,41,50
2574,KRAFTERSPACE,KLAY,"427,730.81",-100.00%,-97.61%,---,23.4K,116.0K
2575,Polyverse Art by Idriss B.,ETH,162.64,null,-75.59%,0.12,1.3K,2.5K
2576,Zero Gravity Cryptonauts,ETH,162.51,null,null,---,65,110
2577,GFARM2 NFT 5,ETH,162.45,null,-100.00%,---,24,85
2578,GreaterFool.NFT,ETH,162.03,null,null,---,1,1
2579,CyberBox Tools,ETH,161.85,null,32.50%,2.17,165,1
2580,TheBirthOfArt,ETH,161.85,null,-100.00%,---,130,175
2581,World Wonders By Jacob Riglin,ETH,161.58,null,-100.00%,---,39,50
2582,KlayRabbit,KLAY,"424,326.97",53.14%,22.73%,20,2.3K,9.7K
2583,DEATH PUNK,ETH,161.29,null,-100.00%,0.4,138,368
2584,Cases by Kate,KLAY,"423,817.42",-87.58%,13.23%,10,1.2K,10.0K
2585,The Falcon 99,ETH,161.15,null,null,3.75,82,99
2586,Repeat Offenders (PVNKS.com),ETH,160.58,-27.62%,-57.87%,0.02,1.8K,6.7K
2587,iAMs,ETH,160.31,null,60.27%,---,197,478
2588,Riot Racers Gas Stations,ETH,160.27,null,null,---,19,20
2589,Hashrunes,ETH,160.07,null,null,---,564,1.4K
2590,Teen Rebel Ape Club,ETH,159.98,-51.85%,-33.81%,0.03,1.8K,7.2K
2591,Collective 168 - Constellations,ETH,159.9,-100.00%,null,---,608,1.6K
2592,Ape Only,ETH,159.85,null,-100.00%,0.03,368,968
2593,Steezy Ape Gang Genesis by Bryan Vee,ETH,159.82,-100.00%,-49.51%,2.78,89,133
2594,Pixel Cats,ETH,159.78,null,-100.00%,---,118,193
2595,The Winterton Collection,ETH,159.44,-21.50%,373.62%,---,242,38
2596,Genetic Chain - Founders Pass,ETH,159.04,null,27.82%,0.14,659,1.0K
2597,Machine Hallucinations - NFT Collection,ETH,159,null,-16.55%,1.75,231,821
2598,ARBO Artifacts,ETH,158.75,26.96%,-38.77%,---,1.9K,46
2599,Cyber Rampage,ETH,158.71,null,326.86%,---,327,12
2601,PrimiLife by wuwa,ETH,158.52,null,null,0.04,608,1.0K
2602,Breathe You by raregonzo,ETH,158.5,null,null,---,168,256
2603,COACHK - CLUB,ETH,158.13,null,-100.00%,---,351,2
2604,Cyborg Mercenaries CM,ETH,158.1,228.00%,2180.10%,< 0.01,2.1K,7.8K
2605,Skorge Elysium Key,ETH,157.94,null,115.35%,0.27,268,336
2606,8th Wonders by 8th Project,ETH,157.64,null,-35.92%,0.05,542,1.1K
2607,DECENTRABOARD,ETH,157.31,null,null,0.28,142,304
2608,Mecha Chaotic: First Breach (Genesis),ETH,157.02,-100.00%,null,0.14,331,46
2609,WGMI Premium Membership,ETH,157,-7.67%,56.36%,0.13,3.7K,4.0K
2610,Honorary Ape Kids Club,ETH,156.97,-100.00%,-26.47%,0.45,161,219
2611,Crazy Panthers,ETH,156.88,null,602.81%,< 0.01,1.1K,3.3K
2612,Mighty Baby Dragons,ETH,156.86,-100.00%,-83.17%,< 0.01,2.2K,10.0K
2613,Lil BabyPunks,ETH,156.86,172.11%,-79.98%,< 0.01,2.3K,4.9K
2614,Eelies,ETH,156.85,null,null,---,47,93
2615,CryptoDrinks??ETH,156.76,null,null,0.45,83,121,
2616,SVINS,ETH,156.72,null,1528.87%,0.07,305,753
2617,"Dear Hash, by MODNAR WOLF",ETH,156.71,null,null,0.16,179,365
2618,MirrorWorld,ETH,156.64,275.47%,-66.06%,0.07,1.4K,6.6K
2619,KLAY APE KIDS,KLAY,"411,449.84",7.13%,-69.20%,175,989,6.1K
2620,Jailed Baby Ape Club,ETH,156.29,1.90%,-7.11%,< 0.01,3.6K,9.0K
2621,Sigils by espina,ETH,156.29,null,null,0.39,80,133
2622,Folia,ETH,156.28,null,-75.56%,---,331,877
2623,LIZZIE BENNETT,ETH,156.24,null,88.24%,0.06,222,333
2624,Patchwork Saguaros by Jake Rockland,ETH,156.18,-100.00%,null,4.9,55,72
2625,Spanky & Friends,ETH,155.82,-100.00%,-47.86%,2.4,91,103
2626,Monster Icons,ETH,155.49,null,null,---,39,44
2627,!denzadol,ETH,155.43,-43.14%,null,0.15,486,1.0K
2628,PandaParadise,ETH,154.94,176.93%,32.97%,0.02,2.1K,8.9K
2629,OFFICIAL Timeless Ape Club,ETH,154.8,769.76%,135.89%,0.06,2.5K,5.6K
2630,SatoshiFaces,ETH,154.71,null,null,0.02,812,3.6K
2631,BrokenSeaDAO,ETH,154.54,7.01%,-86.77%,< 0.01,2.9K,10.0K
2632,RenderPunks,ETH,154.21,48.67%,1153.75%,0.1,317,847
2633,Royal Ceramic Club,ETH,154.1,null,-51.11%,< 0.01,2.0K,5.0K
2634,Rare Pizzas Box,ETH,153.75,-100.00%,-70.14%,0.12,750,1.5K
2635,Crypto Kid,ETH,153.7,null,null,---,57,32
2636,Jpegs Angels,ETH,153.65,null,-41.18%,0.8,147,148
2637,Mechanized Abstractions,ETH,153.51,-58.20%,227.07%,0.04,612,1.2K
2638,Pixel of the Apes,ETH,153.22,null,null,---,111,133
2639,Ecoverse Studio,KLAY,"402,415.59",74.93%,32.28%,1000,338,1.5K
2640,Synthetik x Contour,ETH,152.95,null,null,---,316,500
2641,Pixie Jars,ETH,152.79,14.85%,68.02%,0.02,1.7K,5.0K
2642,Polypunks,ETH,152.76,null,-42.29%,0.03,1.6K,10.0K
2643,KLAYTNMAP,KLAY,"401,353.35",-100.00%,78.73%,29.5,889,5.2K
2644,MetaSoccer Youth Scouts,ETH,152.62,234.00%,250.50%,0.04,436,7.5K
2645,Doodories Official,ETH,152.52,54.12%,-60.15%,0.01,2.8K,7.8K
2646,The Resistance Collection,ETH,152.5,null,null,---,2,7
2647,CryptoWiener,ETH,152.5,null,-100.00%,---,77,200
2648,KidPunks,ETH,152.1,-100.00%,-50.00%,0.05,288,999
2649,Keplers Civil Society,ETH,152,-37.50%,null,< 0.01,2.0K,7.8K
2650,Beatnik Tiki Tribe,ETH,151.88,-100.00%,-57.08%,0.02,1.5K,5.0K
2651,From the Fragments of Tezuka Osamu - Mosaic Art,ETH,151.58,null,null,1928.11,3,3
2652,BUTTHEADS,ETH,151.4,650.42%,-50.49%,0.01,2.7K,8.9K
2653,70s Pop Series One by Daniel Catt,ETH,151.18,null,null,---,154,256
2654,No longer valid,ETH,151.16,null,-100.00%,---,1.2K,7.2K
2655,Procedural Space,ETH,151.1,null,-83.49%,< 0.01,1.5K,10.0K
2656,DeadHeads Skull Troopers,ETH,150.96,40.94%,-35.87%,0.04,2.1K,8.3K
2657,Juiceboxes,ETH,150.67,79.86%,-0.97%,0.01,560,4.3K
2658,Incantation by Eliya Stein,ETH,150.32,null,-100.00%,0.45,62,85
2659,Zombiemice (offchain),ETH,150.16,null,-100.00%,---,171,3.3K
2660,Solo un jpg (Coleccionable),ETH,150.06,-100.00%,-66.67%,< 0.01,701,2.5K
2661,Uloan Token NFT,ETH,150,-100.00%,11.43%,100,15,65
2662,TheMonaLana,ETH,149.93,-100.00%,-46.89%,0.25,343,500
2663,KISS-VERSE,ETH,149.57,null,-100.00%,---,174,20
2664,BLU Blox,ETH,149.56,null,-69.57%,< 0.01,3.7K,10.0K
2665,CAR by SHL0MS,ETH,149.55,null,-92.05%,0.55,713,988
2666,LootCreatures,ETH,149.22,null,-100.00%,0.01,1.1K,8.3K
2667,MoonBase,ETH,149.19,null,-100.00%,0.03,778,5.5K
2668,Frank Ape - Frank Friends - Series 1,ETH,148.98,null,-100.00%,---,38,50
2669,??ByteBeats by DADABOTS x KAI,ETH,148.85,null,null,0.4,258,512
2670,MoonBoys Alpha Collection,ETH,148.77,null,null,0.1,195,509
2671,Metaani x KizunaAI,ETH,148.61,-100.00%,-4.55%,---,153,200
2672,The Waq Waq Island Manuscript,ETH,148.43,null,null,---,211,6
2673,The Winkybots,ETH,148.24,-55.59%,-75.17%,0.04,3.2K,10.2K
2674,Congress Cat,ETH,148.09,null,null,0.05,669,2.0K
2675,TheFunkies,ETH,147.9,null,null,---,59,100
2676,The Crazy Camels,ETH,147.85,622.22%,105.00%,0.02,1.2K,2.0K
2677,MetaScraper,ETH,147.83,null,-18.33%,0.5,72,1
2678,Ranchy Rednecks,ETH,147.71,null,-44.26%,0.05,561,1.0K
2679,Smircs,ETH,147.55,null,null,1.63,82,125
2680,LORDLESS,ETH,147.53,null,null,---,420,913
2681,Multiverse of gregs,ETH,147.5,-100.00%,-86.56%,---,104,153
2682,The Door by Matt Kane,ETH,147.44,null,null,---,13,14
2683,DEGENERATIVE by DEAFBEEF,ETH,147.03,null,null,---,30,86
2684,CryptoNobles,ETH,146.56,null,-50.31%,0.01,1.1K,2.5K
2685,Enjin,ETH,146.5,null,-100.00%,< 0.01,57.4K,176.8K
2686,SLAM x ZION,ETH,146.48,null,-100.00%,---,226,109
2687,Cath Simard Editions,ETH,146.33,-100.00%,-61.80%,---,204,1
2688,Reckless Whales,ETH,146.27,null,56.22%,< 0.01,2.1K,9.9K
2689,Meg Thorpe 1-200,ETH,146.26,null,null,---,80,137
2690,Crypto Planets,ETH,146.15,null,null,---,72,150
2691,Kevin Wunks,ETH,145.76,96.00%,-92.92%,< 0.01,332,555
2692,Satoshi's Girls,ETH,145.69,null,-41.43%,0.22,192,500
2693,I had a dream and now it's real,ETH,145.53,null,223.47%,---,242,14
2694,Dive by RafaÃ«l Rozendaal,ETH,145.46,null,-74.26%,0.27,190,333
2695,Para Bellum by Matty Mariansky,ETH,145.36,-79.78%,-26.79%,0.15,557,1.0K
2696,Teddy Bear Squad,ETH,145.25,-4.07%,18.77%,0.04,3.1K,6.8K
2697,We>Them: Society of Rebels,ETH,145.23,-100.00%,-74.95%,0.04,698,999
2698,Cunning Wolf Society CWS,ETH,145.08,43.64%,62.49%,0.04,2.6K,5.0K
2699,Orthogone by Pandelune,ETH,145.01,-100.00%,null,0.03,443,777
2701,MetaTravelers: Genesis Stone,ETH,144.77,-100.00%,28.07%,---,311,1
2702,Chillmeleons,ETH,144.38,-100.00%,-33.22%,0.03,622,10.0K
2703,HeadGame,ETH,144.38,-67.63%,409.97%,< 0.01,814,28.3K
2704,The Crypto Presidents,ETH,144.12,null,null,---,11,47
2705,Play Squid NFT - MUST READ DESCRIPTION,ETH,144.11,null,-100.00%,< 0.01,1.9K,5.5K
2706,Waveblocks,ETH,144.04,null,-89.89%,---,287,666
2707,DickleButts,ETH,143.9,73.83%,-20.97%,0.02,1.9K,5.0K
2708,Last Tribe,ETH,143.82,-77.23%,null,0.25,237,400
2709,Staked Critterz,ETH,143.48,30.79%,-27.99%,0.02,2.1K,3.6K
2710,Alotta Money,ETH,143.28,null,-100.00%,17.99,117,178
2711,EtherPebble,ETH,143.2,null,null,---,71,100
2712,4E4F5553,ETH,142.96,null,-100.00%,< 0.01,830,3.3K
2713,Riot Racers Racetrack Land,ETH,142.59,347.37%,239.58%,---,429,1.4K
2714,Chibis NFT,ETH,142.31,null,null,---,84,126
2715,FF Cowbear,ETH,142.25,null,null,---,29,240
2716,Planet XV,ETH,141.96,null,102.65%,0.05,477,1.1K
2717,CryptoCows,ETH,141.86,null,-100.00%,---,274,500
2718,BabyBoomerNFT,ETH,141.83,null,140.78%,< 0.01,814,2.2K
2719,Kohi x eepmon CityLights,ETH,141.79,-10.00%,115.75%,0.05,559,1.2K
2720,Inventory V2,ETH,141.79,null,-100.00%,---,574,1.2K
2721,Parallel Auxiliary Items,ETH,141.75,null,-87.76%,---,221,2
2722,DoodleBitsNFT,ETH,141.59,-100.00%,2023.26%,< 0.01,1.4K,3.5K
2723,Untitled Collection #83015944,ETH,141.3,null,null,---,1,1
2724,Oilys,ETH,141.07,null,-100.00%,---,78,100
2725,Phto. All Access Pass,ETH,140.86,-100.00%,-42.43%,0.2,291,1
2726,MondrianNFT,ETH,140.68,-100.00%,383.76%,0.01,1.8K,4.1K
2727,Unofficial Punks,ETH,140.61,null,-100.00%,---,82,101
2728,toomuchlag,ETH,140.6,null,900.00%,---,181,1.7K
2729,Fighting The Blight,ETH,140.5,null,null,---,6,32
2730,Melvin's Snacks,ETH,139.96,null,-75.73%,---,182,4
2731,Baller Bananas NFTs,ETH,139.67,null,388.84%,0.02,1.1K,3.0K
2732,Tiny Ghost Genesis,ETH,139.66,null,-100.00%,0.19,397,666
2733,Chillin Chameleons,ETH,139.64,60.63%,64.41%,0.11,2.2K,5.0K
2734,The Girls of Armament V2,ETH,139.32,null,null,6.75,75,84
2735,Ape Kids Football Club,ETH,139.24,-58.26%,157.25%,0.02,2.4K,6.6K
2736,NFTCULTURE,ETH,139.19,null,297.00%,0.05,756,2.8K
2737,Unstablekido editions,ETH,139.14,null,-100.00%,---,155,22
2738,KeikoKitahara,ETH,139.08,-100.00%,null,---,71,107
2739,PunkDogs,ETH,139.04,null,null,---,463,1.0K
2740,Cupcat Kittens,ETH,138.78,-53.89%,36.28%,0.03,3.1K,8.4K
2741,Bloodshed Bears TokenGenerator,ETH,138.77,-100.00%,-85.87%,0.04,295,7.0K
2742,Satoshiverse - Satoshi's Legions - The Legionnaires,ETH,138.67,-100.00%,81.26%,0.13,1.3K,5.6K
2743,Etherland,ETH,138.29,-100.00%,1402.26%,---,189,326
2744,LOS MALANDROS,ETH,138.28,-100.00%,3000.88%,---,128,278
2745,Bit Wine,ETH,137.69,null,null,0.05,333,1.0K
2746,Lost Paradise by Rizacan Kumas,ETH,137.46,null,null,---,44,70
2747,MONKEY HYPE,ETH,137.33,44.45%,-57.46%,0.02,926,2.3K
2748,EtherInvisibleRock,ETH,137.09,-100.00%,null,---,64,101
2749,HEAD5 by deadmau5,ETH,136.86,-75.26%,-5.39%,0.1,1.6K,3.1K
2750,Exterior,ETH,136.85,null,-100.00%,0.2,88,150
2751,PixelTigers Official,ETH,136.62,72.21%,-28.41%,0.03,530,1.8K
2752,HashGarage Minter,ETH,136.53,null,null,---,1,1
2753,GM420,ETH,136.47,null,-42.43%,0.69,231,420
2754,Cleator Citi-Zen Collection,ETH,136.4,-100.00%,-50.00%,---,88,1
2755,Polar Pals Bobsledding,ETH,136.28,null,27.91%,< 0.01,1.1K,4.2K
2756,Exospheres,ETH,136.16,-100.00%,null,---,58,69
2757,REVV Motorsport,ETH,136.14,null,null,---,946,85
2758,Crypto Duuudes,ETH,136.04,null,null,---,60,171
2759,MonkePunks,ETH,135.95,-100.00%,22.87%,< 0.01,610,999
2760,Pixel Glass by kai,ETH,135.82,null,null,0.2,127,256
2761,Killer Acid,ETH,135.79,-100.00%,null,1.69,101,210
2762,Tropical Garden,ETH,135.77,null,null,---,8,9
2763,Meta Adventure Official,KLAY,"356,931.84",156.04%,-36.47%,385,3.2K,10.0K
2764,Floor X Creepz,ETH,135.56,-100.00%,-70.23%,---,322,1
2765,8SIAN VIP GOLD PASS,ETH,135.39,-100.00%,-65.51%,0.07,698,2
2766,Ethlings Wearables,ETH,135.34,-100.00%,125.00%,< 0.01,1.4K,864
2767,BIG BUCKS,ETH,135.15,-100.00%,137.50%,---,364,888
2768,FASHION APE NFT,ETH,135.1,-60.20%,-25.16%,0.04,1.4K,2.1K
2769,postcards from paradise,ETH,134.94,null,-71.42%,---,595,676
2770,Anime Punks,ETH,134.67,null,-100.00%,0.07,325,1.0K
2771,NEKOMEKA,ETH,134.53,-27.08%,-34.72%,0.03,1.5K,5.2K
2772,Low Tide by Artem Verkhovskiy x Andy Shaw,ETH,134.5,null,-100.00%,0.08,270,373
2773,FinalBosu,ETH,134.41,null,-41.65%,0.22,302,555
2774,SKULLIES GMI,ETH,134.41,null,null,0.38,121,193
2775,Party Sloths,ETH,134.35,-100.00%,-78.42%,---,264,1.0K
2776,Relax Pepe Collection,ETH,134.33,null,null,---,135,56
2777,Les Non Fongible Femmes,ETH,134.14,null,null,---,284,500
2778,Genesis Adventurers (for Loot),ETH,133.61,null,-100.00%,---,223,537
2779,Lovely Erre,ETH,133.59,null,-100.00%,---,3,14
2780,Shiny Magpies,ETH,133.57,-100.00%,-8.82%,0.4,181,50
2781,Ether Kingdoms,ETH,133.4,null,null,---,673,2.9K
2782,Clones Never Die V2,ETH,133.37,null,-100.00%,0.15,245,10.0K
2783,70s Pop Series Two by Daniel Catt,ETH,133.22,null,null,0.44,138,256
2784,VirdKongz,KLAY,"350,214.40",162.32%,0.44%,184,532,3.0K
2785,Degen Pass Genesis,ETH,133.17,61.61%,-5.75%,4.33,220,1
2786,70s Pop Ghost Bonus Pack ?‘» by Daniel Catt,ETH,133.13,null,null,---,53,64
2787,Absurd Arboretum,ETH,133.1,21.97%,75.16%,0.04,1.0K,2.8K
2788,Lost Relics,ETH,132.98,null,null,< 0.01,8.2K,969
2789,Meta Mint,ETH,132.92,214.29%,-47.57%,1.3,256,1
2790,mfer x wavelength,ETH,132.75,673.80%,-55.53%,0.72,166,2
2791,Commsaur,ETH,132.6,-77.27%,-43.24%,0.01,1.2K,3.3K
2792,Burnables NFT,ETH,132.52,null,-100.00%,0.11,232,999
2793,Black & White Nights,ETH,132.45,null,null,1,42,50
2794,"Cryptock, The Society",ETH,132.3,null,-71.43%,0.1,740,2.4K
2795,-The Odd Dystrict-,ETH,132.28,-28.87%,-55.68%,0.03,1.6K,5.0K
2796,Figmenta,ETH,132.05,null,null,0.01,216,500
2797,Reward Apes,ETH,131.99,null,-61.28%,---,638,735
2798,NobrainerFinance,ETH,131.81,null,null,---,446,33
2799,PUNKS 2: LONE-STAR Collector's Edition,ETH,131.63,1.34%,-23.19%,0.3,724,749
2801,NightFamily,ETH,131.41,null,-100.00%,< 0.01,1.9K,3.0K
2802,Mona Spaces,ETH,131.1,-100.00%,-85.46%,---,78,124
2803,ONY 2 by Shvembldr,ETH,130.94,-100.00%,null,---,49,70
2804,Digi Doorz,ETH,130.55,null,null,---,676,951
2805,Alex Lavrov Art,ETH,130.49,-100.00%,null,---,143,77
2806,The Four Seasons of Jiuzhaigou,ETH,130.37,null,null,---,18,61
2807,nonfungibleapes,ETH,130.31,null,null,---,106,404
2808,Reuben Wu - Limited Editions,ETH,130.28,-100.00%,127.38%,0.45,193,1
2809,GAME DISEASE - GENE$IS -,ETH,130.26,-100.00%,null,0.3,217,661
2810,Patterns of Life by Vamoss,ETH,130.12,null,140.00%,0.09,364,512
2811,CREEPTURES OG,ETH,129.98,null,null,---,32,10
2812,BAMC x Super Shiba Club,ETH,129.94,null,null,---,246,333
2813,Gallery Premium Membership Cards,ETH,129.87,11.11%,-41.81%,0.19,1.1K,8
2814,MetaCity Real Estate,ETH,129.23,-100.00%,11.96%,0.14,689,1.8K
