Rank,Name,TokenType,Volume,24h%,7d%,Floor Price,Owners,Items
217,Monster Ape Club | MAC,ETH,"6,808.72",76.39%,-8.59%,0.08,4.2K,8.0K
218,Genesis Critterz,ETH,"6,771.28",195.62%,8.89%,1.57,161,3.9K
219,FoxFam,ETH,"6,763.96",61.03%,-17.08%,0.39,3.6K,10.0K
220,Voxies,ETH,"6,687",-42.00%,20.68%,0.4,1.7K,10.0K
221,Quirkies Originals,ETH,"6,636.59",19.67%,-72.82%,1.15,2.3K,5.0K
222,Ecumenopolis by Joshua Bagley,ETH,"6,619.91",14.29%,136.71%,1.95,430,676
223,DEGEN TOONZ COLLECTION,ETH,"6,600.19",2.53%,-3.63%,0.55,4.2K,8.9K
224,Little Lemon Friends,ETH,"6,565.58",51.21%,-37.14%,0.18,5.4K,10.0K
225,Boonji Project,ETH,"6,545.73",-4.52%,-14.42%,0.13,5.1K,11.1K
226,Ghxsts,ETH,"6,529.28",null,140.00%,6.9,264,349
227,The Doggies (Snoop Dogg),ETH,"6,508.35",-28.65%,-40.50%,0.27,6.9K,10.0K
228,PartyBear,ETH,"6,495.67",-20.11%,-13.03%,0.97,4.1K,9.7K
229,dotdotdots,ETH,"6,460.91",7.37%,-60.75%,0.14,2.7K,4.9K
230,Subscapes by Matt DesLauriers,ETH,"6,431.25",-100.00%,null,6.66,264,650
231,CryptoDickbutts,ETH,"6,191.98",-50.31%,-9.77%,1,1.7K,5.2K
232,Sipherian Surge,ETH,"6,152.51",-21.50%,72.79%,0.25,3.8K,10.0K
233,Dr. ETHvil's 3D FrankenPunks,ETH,"6,138.46",-39.65%,-46.97%,0.07,5.5K,10.0K
234,XCOPY,ETH,"6,106.22",29.78%,1362.03%,7.89,720,1.3K
235,DystoPunks,ETH,"6,094.28",-100.00%,-82.13%,0.7,679,2.1K
236,HeadDAO,ETH,"6,079.57",-11.74%,444.48%,0.1,1.1K,10.0K
237,HOWLERZ,ETH,"6,076.60",-17.51%,-40.03%,0.22,2.4K,5.0K
238,FLUF World: Burrows,ETH,"6,060.52",33.73%,-25.64%,0.74,3.5K,10.5K
239,Al Cabones,ETH,"6,041.95",4136.67%,120.10%,0.02,3.7K,10.0K
240,Meta Toy DragonZ,KLAY,"15,882,641.46",25.46%,22.29%,2290,2.7K,9.7K
241,Fang Gang,ETH,"6,022.68",-1.45%,15.45%,0.17,4.4K,8.9K
242,SpacePunksClub,ETH,"5,965.24",-53.75%,-48.56%,0.04,4.4K,10.0K
243,CryptoArte,ETH,"5,963.35",182.80%,-28.92%,0.13,3.5K,9.9K
244,KCG,ETH,"5,943.83",46.82%,-48.64%,0.25,1.6K,7.9K
245,Gutter Rats,ETH,"5,943.38",-59.29%,96.37%,2.07,1.9K,3.0K
246,BYOPill,ETH,"5,919.26",-82.19%,18.61%,1.4,3.3K,10.0K
247,BEEPLE: EVERYDAYS - THE 2020 COLLECTION,ETH,"5,880.40",null,null,18,201,722
248,1111 by Kevin Abosch,ETH,"5,848.16",null,null,2,386,1.1K
249,Wolf Game - Wool Pouch,ETH,"5,771.72",72.86%,-34.02%,0.44,3.0K,9.5K
250,WVRPS by WarpSound (Official),ETH,"5,728.68",-16.80%,-22.14%,0.34,4.9K,10.0K
251,SUPERPLASTIC: SUPERGUCCI,ETH,"5,699.56",null,-52.27%,5.46,373,500
252,Gooniez Gang Official,ETH,"5,695.72",26.51%,-47.27%,0.1,5.7K,8.9K
253,WomenRise,ETH,"5,668.58",1.03%,-38.27%,0.35,5.7K,10.0K
254,Cryptoon Goonz,ETH,"5,650.68",-23.55%,57.45%,0.5,4.0K,7.0K
255,SuperFarm Genesis Series,ETH,"5,619.17",122.12%,-6.39%,0.04,4.7K,7.2K
